file,confidence,line_no,line_content,音标,词性+翻译,页码,单元
0-1-1.png,1,2,unit,'ju:nit, n.单元,p.1,Starter Unit 1
0-1-1.png,1,4,starter unit,,过渡单元,p.1,Starter Unit 1
0-1-1.png,1,6,section ,'sekfn, n.部分；地区,p.1,Starter Unit 1
0-1-1.png,1,8,greet,gri:t,v.招呼；问候,p.1,Starter Unit 1
0-1-1.png,1,10,each ,i:tf, adj. & pron.每个；各自,p.2,Starter Unit 1
0-1-1.png,1,12,other ,'voe(r),pron.另外的人（或物）adj.另外的；其他的,p.2,Starter Unit 1
0-1-1.png,1,15,each other ,,互相；彼此,p.2,Starter Unit 1
0-1-1.png,1,17,oh ,ou, interj. 哦；啊,p.2,Starter Unit 1
0-1-1.png,1,19,everyone ,'evriwvn,pron.每人；所有人,p.2,Starter Unit 1
0-1-1.png,1,22,start,sta:t,v.开始；着手,p.4,Starter Unit 1
0-1-1.png,1,24,conversation,",konve'seifn",n.谈话；交谈,p.4,Starter Unit 1
0-1-1.png,1,27,spell ,spel, v.用字母拼；拼写,p.4,Starter Unit 1
0-1-1.png,1,29,bell,bel,n.铃（声）；钟（声）,p.4,Starter Unit 1
0-1-1.png,1,31,Helen ,'helon,海伦,p.1,Starter Unit 1
0-1-1.png,1,33,Ella ,'ele,埃拉,p.1,Starter Unit 1
0-1-1.png,1,35,Emma,'eme,埃玛,p.1,Starter Unit 1
0-1-1.png,1,37,Peter ,'pi:te(r),彼得,p.1,Starter Unit 1
0-1-1.png,1,39,Brown ,braun,布朗,p.2,Starter Unit 1
0-1-1.png,1,41,PRC,",pi: a:(r) 'si:",中华人民共和国,p.3,Starter Unit 1
0-1-1.png,1,43,PLA,",pi:el 'er",中国人民解放军,p.3,Starter Unit 1
0-1-1.png,1,45,VR,",vi: 'a:(r)",虚拟现实,p.3,Starter Unit 1
0-1-1.png,1,47,WHO,",dvblju:eitf'eu",世界卫生组织,p.3,Starter Unit 1
0-1-1.png,1,49,UN,ju: 'en,联合国,p.3,Starter Unit 1
0-1-1.png,1,51,Miller ,'mile(r),米勒,p.4,Starter Unit 1
0-2-3-1-1.png,1,2,bottle,'botl,n.瓶子,p.7,Starter Unit 2
0-2-3-1-1.png,1,4,eraser ,i'reize(r), n. 橡皮,p.7,Starter Unit 2
0-2-3-1-1.png,1,6,key,ki:,n.钥匙；关键,p.7,Starter Unit 2
0-2-3-1-1.png,1,8,thing,0m, n.东西；事情,p.10,Starter Unit 2
0-2-3-1-1.png,1,10,need,ni:d,v.& n.需要,p.10,Starter Unit 2
0-2-3-1-1.png,1,12,You're welcome. ,,别客气；不用谢。,p.11,Starter Unit 2
0-2-3-1-1.png,1,15,fun ,fvn, n.乐趣；快乐adj.有趣的；使人快乐的,p.13,Starter Unit 3
0-2-3-1-1.png,1,18,yard ,ja:d, n. 院子；园圃,p.13,Starter Unit 3
0-2-3-1-1.png,1,20,carrot ,'kaeret, n.胡萝卜,p.13,Starter Unit 3
0-2-3-1-1.png,1,22,goose,gu:s .(pl geese is),鹅,p.14,Starter Unit 3
0-2-3-1-1.png,1,24,count ,kaunt, v. 数数,p.16,Starter Unit 3
0-2-3-1-1.png,1,26,another ,o'naoo(r), adj. & pron.另一；又一（人或事物）,p.16,Starter Unit 3
0-2-3-1-1.png,1,29,else ,els, adv. 其他的；别的,p.17,Starter Unit 3
0-2-3-1-1.png,1,31,circle,'s3:kl,v.圈出n.圆形；圆圈,p.17,Starter Unit 3
0-2-3-1-1.png,1,33,look at,,看；瞧,p.17,Starter Unit 3
0-2-3-1-1.png,1,36,make friends ,,交朋友,p.19,Unit 1
0-2-3-1-1.png,1,38,get to know ,,认识；了解,p.20,Unit 1
0-2-3-1-1.png,1,40,full ,fol, adj.完整的；满的,p.20,Unit 1
0-2-3-1-1.png,1,42,ful name ,,全名,p.20,Unit 1
0-2-3-1-1.png,1,44,grade,greid,n.年级；等级,p.20,Unit 1
0-2-3-1-1.png,1,46,last name ,,姓氏,p.20,Unit 1
0-2-3-1-1.png,1,48,classmate,'kla:smeit, n.同班同学,p.21,Unit 1
0-2-3-1-1.png,1,50,class teacher,, 班主任,p.21,Unit 1
1-2.png,1,1,first name ,,名字,p.21,Unit 1
1-2.png,1,3,mistake ,mi'steik,n.错误；失误,p.21,Unit 1
1-2.png,1,5,country,'kvntri,n.国家,p.22,Unit 1
1-2.png,1,7,same ,seim, adj. 相同的,p.23,Unit 1
1-2.png,1,9,twin,twm,n. 双胞胎之一adj. 双胞胎之一的,p.23,Unit 1
1-2.png,1,12,both ,beu0, adj.& pron.两个；两个都,p.23,Unit 1
1-2.png,1,15,band ,baend, n.乐队,p.23,Unit 1
1-2.png,1,17,pot,pot, n.锅,p.23,Unit 1
1-2.png,1,19,a lot,,很；非常,p.23,Unit 1
1-2.png,1,21,tofu,'teufu:,n.豆腐,p.23,Unit 1
1-2.png,1,23,parrot ,'paeret, n.鹦鹉,p.24,Unit 1
1-2.png,1,25,guitar ,gr'ta:(r),n.吉他,p.24,Unit 1
1-2.png,1,27,tennis ,'tenis,n.网球运动,p.24,Unit 1
1-2.png,1,29,page,peid3,n.页面；（书刊或纸张）页,p.24,Unit 1
1-2.png,1,31,even ,'i:vn, adv.甚至；连；愈加,p.24,Unit 1
1-2.png,1,33,hey ,hei, interj.嘿；喂,p.24,Unit 1
1-2.png,1,35,play the guitar ,,弹吉他,p.24,Unit 1
1-2.png,1,37,would ,wud;wod, modal v.想(用于礼貌地邀请或向某人提供某物)；将会,p.24,Unit 1
1-2.png,1,41,would ('d) like to ,,表示愿意、喜欢,p.24,Unit 1
1-2.png,1,43,information,",infe'meifn",n.信息；消息,p.25,Unit 1
1-2.png,1,46,hobby,'hobi,n.业余爱好,p.25,Unit 1
1-2.png,1,48,re,ri:,prep.(用于回复电子邮件)关于；事由,p.25,Unit 1
1-2.png,1,51,Green,gri:n,格林,p.20,Unit 1
1-2.png,1,53,UK,",ju: 'kei",英国,p.20,Unit 1
1-2.png,1,55,US,ju: 'es,美国,p.20,Unit 1
1-2.png,1,57,Smith ,smr0,史密斯,p.20,Unit 1
1-2.png,1,59,Lisa ,'li:se,莉萨,p.23,Unit 1
1-3-2-1.png,1,1,Tom,tom,汤姆,p.23,Unit 1
1-3-2-1.png,1,3,hot pot ,,火锅,p.23,Unit 1
1-3-2-1.png,1,5,Sally ,'saeli,萨莉,p.23,Unit 1
1-3-2-1.png,1,7,Wood,wud,伍德,p.23,Unit 1
1-3-2-1.png,1,9,Sydney,'sidni,悉尼（澳大利亚城市）,p.23,Unit 1
1-3-2-1.png,1,10,Australia ,p'streilie,澳大利亚,p.23,Unit 1
1-3-2-1.png,1,12,Mapo tofu ,,麻婆豆腐,p.23,Unit 1
1-3-2-1.png,1,14,Beijing roast ,reust, duck北京烤鸭,p.24,Unit 1
1-3-2-1.png,1,17,Singapore,",sine'po:(r)",新加坡,p.24,Unit 1
1-3-2-1.png,1,19,the Great Wall,,长城,p.24,Unit 1
1-3-2-1.png,1,21,Pauline ,po:'li:n,保利娜,p.24,Unit 1
1-3-2-1.png,1,23,Lee ,li:,李,p.24,Unit 1
1-3-2-1.png,1,25,Coco,'koukeu,科科,p.24,Unit 1
1-3-2-1.png,1,27,London,'lvnden,伦敦（英国首都）,p.24,Unit 1
1-3-2-1.png,1,30,mean,mi:n,v.意思是；打算,p.27,Unit 2
1-3-2-1.png,1,32,husband,'hvzbend,n.丈夫,p.28,Unit 2
1-3-2-1.png,1,34,bat ,baet,n.球棒；球拍,p.29,Unit 2
1-3-2-1.png,1,36,ping-pong bat,,乒乓球拍,p.29,Unit 2
1-3-2-1.png,1,38,play ping-pong ,,打乒乓球,p.29,Unit 2
1-3-2-1.png,1,40,together ,te'gede(r),adv.在一起；共同,p.29,Unit 2
1-3-2-1.png,1,43,every day ,,每天,p.29,Unit 2
1-3-2-1.png,1,45,fishing rod ,rod,钓竿,p.29,Unit 2
1-3-2-1.png,1,47,spend,spend,v.花（时间、钱等）,p.29,Unit 2
1-3-2-1.png,1,49,a lot of ,,大量；许多,p.29,Unit 2
1-3-2-1.png,1,51,really,'ri:oli,adv.非常；确实；真正地 ,p.29,Unit 2
1-3-2-1.png,1,52,member,'membe(r),n.成员；会员,p.30,Unit 2
1-3-2-1.png,1,54,activity,aek'tiveti, n.活动,p.30,Unit 2
1-3-2-1.png,1,56,chess ,tfes, n.国际象棋,p.30,Unit 2
1-3-2-1.png,1,58,Chinese chess,,中国象棋,p.30,Unit 2
2-2.png,1,1,grandparent,'graenpeoront,n.祖父（母）；外祖父（母）,p.31,Unit 2
2-2.png,1,4,funny ,'fvni, adj.好笑的；奇怪的,p.31,Unit 2
2-2.png,1,6,laugh,la:f,v.笑；发笑n.笑声,p.31,Unit 2
2-2.png,1,8,different ,'difrent, adj.不同的,p.31,Unit 2
2-2.png,1,10,violin,",vaie'lm", n.小提琴,p.31,Unit 2
2-2.png,1,12,have fun,, 玩得高兴,p.31,Unit 2
2-2.png,1,14,hat ,haet, n. 帽子,p.32,Unit 2
2-2.png,1,16,handsome ,'haensom, adj.英俊的,p.32,Unit 2
2-2.png,1,18,knee ,ni:, n.膝；膝盖,p.32,Unit 2
2-2.png,1,20,at night ,,在夜晚,p.32,Unit 2
2-2.png,1,22,in the middle ,,在中间,p.32,Unit 2
2-2.png,1,24,grandchild ,'graentfaild,"n.(pl. grandchildren 'graen,tfildren )(外)孙子；（外）孙女",p.32,Unit 2
2-2.png,1,28,son ,svn, n. 儿子,p.33,Unit 2
2-2.png,1,30,hike ,hark, v.& n.远足；徒步旅行,p.33,Unit 2
2-2.png,1,32,go hiking ,,远足；徒步旅行,p.33,Unit 2
2-2.png,1,34,next to ,,紧邻；在·近旁,p.33,Unit 2
2-2.png,1,36,David ,'deivid,戴维,p.28,Unit 2
2-2.png,1,38,Jim,d3im,吉姆,p.28,Unit 2
2-2.png,1,40,Kate ,keit,凯特,p.31,Unit 2
2-2.png,1,42,Lily,'lrli,莉莉,p.32,Unit 2
2-2.png,1,44,Ireland ,'aielend,爱尔兰,p.32,Unit 2
2-2.png,1,46,Fred ,fred,弗雷德,p.32,Unit 2
2-2.png,1,48,Sam ,saem,萨姆,p.32,Unit 2
2-2.png,1,50,Jane ,d3ein,简,p.32,Unit 2
2-2.png,1,52,Jack ,d3aek,杰克,p.32,Unit 2
2-2.png,1,54,Sarah ,'seoro,萨拉,p.32,Unit 2
2-2.png,1,56,Oscar ,'oske(r),奥斯卡,p.32,Unit 2
2-2.png,1,58,Lucy,'lu:si,露西,p.32,Unit 2
3-1.png,1,2,hall ,ho:l, n.礼堂；大厅,p.36,Unit 3
3-1.png,1,4,dining ,'daimim, hall餐厅,p.36,Unit 3
3-1.png,1,6,in front of,,在···前面,p.36,Unit 3
3-1.png,1,8,building,'bildi,n.建筑物；房子,p.36,Unit 3
3-1.png,1,10,across ,e'kros, adv. & prep.在(···)对面；横过,p.36,Unit 3
3-1.png,1,13,across from ,,在对面,p.36,Unit 3
3-1.png,1,15,centre ,'sento(r),(=center)n.中心；中央,p.36,Unit 3
3-1.png,1,18,gym,d3im,n.(=gymnasium d3im'neiziem)体育馆，健身房；(尤指学校的)体育活动,p.36,Unit 3
3-1.png,1,22,field ,fi:ld, n. 场地；田地,p.36,Unit 3
3-1.png,1,24,sports field ,,运动场,p.36,Unit 3
3-1.png,1,26,office ,'ofis,n.办公室,p.36,Unit 3
3-1.png,1,28,large,la:dz,adj.大的;大号的,p.37,Unit 3
3-1.png,1,30,special,'spefl, adj. 特别的；特殊的,p.37,Unit 3
3-1.png,1,32,smart ,sma:t, adj. 智能的；聪明的,p.37,Unit 3
3-1.png,1,34,whiteboard ,'waitbo:d,n.白板；白色书写板,p.37,Unit 3
3-1.png,1,37,put up ,,张贴；搭建,p.37,Unit 3
3-1.png,1,39,important ,m'po:tnt, adj.重要的,p.37,Unit 3
3-1.png,1,41,notice ,'neutis, n. 通知；注意v.注意到；意识到,p.37,Unit 3
3-1.png,1,44,locker ,'loke(r),n.有锁存物柜；寄物柜,p.37,Unit 3
3-1.png,1,47,drawer ,dro:(r),n.抽屉,p.37,Unit 3
3-1.png,1,49,at the back (of),,在(···)后面,p.38,Unit 3
3-1.png,1,51,corner,'ko:no(r),n.角；墙角；街角,p.38,Unit 3
3-1.png,1,53,bookcase,'bukkeis,n.书架；书柜,p.39,Unit 3
3-1.png,1,55,screen ,skri:n, n.屏幕；银幕,p.39,Unit 3
3-1.png,1,57,at school ,,在学校,p.40,Unit 3
3-1.png,1,59,different from,,与··不一样,p.40,Unit 3
3-2-4-1.png,1,1,modern ,'modn, adj. 现代的；当代的,p.40,Unit 3
3-2-4-1.png,1,2,do exercises ,,做体操,p.40,Unit 3
3-2-4-1.png,1,4,amazing ,e'meizin, adj.令人惊奇(惊喜或惊叹)的,p.40,Unit 3
3-2-4-1.png,1,7,raise ,reiz, v.使升高；提高,p.40,Unit 3
3-2-4-1.png,1,9,flag,flaeg, n.旗；旗帜,p.40,Unit 3
3-2-4-1.png,1,11,most ,meust, adj. & pron.大多数；最多；最大adv.最,p.40,Unit 3
3-2-4-1.png,1,14,change ,tfemd3, v.&n.改变；变化,p.40,Unit 3
3-2-4-1.png,1,16,seat ,si:t, n.座位,p.40,Unit 3
3-2-4-1.png,1,18,delicious ,di'lifos,adj.美味的；可口的,p.40,Unit 3
3-2-4-1.png,1,21,How about.?,,···怎么样？,p.40,Unit 3
3-2-4-1.png,1,23,yours ,jo:z," pron.(通常写作 Yours,用于书信结尾的签名前)你的；您的",p.40,Unit 3
3-2-4-1.png,1,27,send,send,v.发送；邮寄,p.40,Unit 3
3-2-4-1.png,1,29,similar ,'simele(r),adj.类似的；相像的,p.41,Unit 3
3-2-4-1.png,1,32,similar to ,,类似的；相像的,p.41,Unit 3
3-2-4-1.png,1,34,sound,saund,v.听起来；好像n.声音；响声,p.41,Unit 3
3-2-4-1.png,1,37,bye for now ,,再见,p.41,Unit 3
3-2-4-1.png,1,39,Flora,'flo:re,弗洛拉,p.40,Unit 3
3-2-4-1.png,1,42,biology,bai'oled3i,n.生物学,p.44,Unit 4
3-2-4-1.png,1,44,IT ,，ar'ti:,(=information technology tek'nolod3i)信息技术,p.44,Unit 4
3-2-4-1.png,1,48,geography,d3i'ogrefi,n.地理（学）,p.44,Unit 4
3-2-4-1.png,1,50,history,'histri, n.历史；历史课,p.44,Unit 4
3-2-4-1.png,1,52,boring,'bo:rm, adj.乏味的；令人生厌的,p.44,Unit 4
4-2.png,1,3,useful,'ju:sfl, adj.有用的；有益的,p.44,Unit 4
4-2.png,1,5,exciting ,ik'saitin, adj.令人激动的；使人兴奋的,p.44,Unit 4
4-2.png,1,8,past ,pa:st,n.过去；过去的事情adj.过去的prep.在···之后,p.45,Unit 4
4-2.png,1,11,good with ,,灵巧的；善于应付···的,p.45,Unit 4
4-2.png,1,13,number,'nvmbe(r), n.数字；号码,p.45,Unit 4
4-2.png,1,15,help sb with,, 帮助某人做（某事）,p.45,Unit 4
4-2.png,1,17,reason,'ri:zn,n.原因；理由,p.46,Unit 4
4-2.png,1,19,listen to,,听；倾听,p.47,Unit 4
4-2.png,1,21,good at ,,擅长,p.47,Unit 4
4-2.png,1,23,remember,ri'membe(r),ν.记住；记起,p.47,Unit 4
4-2.png,1,26,as ,aez;ez,prep.如同；作为conj. 当··时；由于,p.47,Unit 4
4-2.png,1,29,AM,",er'em",(=a.m.)上午,p.48,Unit 4
4-2.png,1,31,PM,",pi:'em",(=p.m.)下午；午后,p.48,Unit 4
4-2.png,1,33,French ,frentf,n.法语adj.法国的；法国人的；法语的,p.48,Unit 4
4-2.png,1,36,excellent,'eksolont,adj.优秀的；极好的,p.48,Unit 4
4-2.png,1,39,instrument,'instrement,n.乐器；器械；工具,p.48,Unit 4
4-2.png,1,42,singer,'sme(r),n.歌手,p.48,Unit 4
4-2.png,1,44,future,'fju:tfo(r),n.将来；未来,p.48,Unit 4
4-2.png,1,46,in the future ,,将来；未来,p.48,Unit 4
4-2.png,1,48,term,t3:m, n.学期,p.48,Unit 4
4-2.png,1,50,work out ,,计算出；解决,p.48,Unit 4
4-2.png,1,52,problem,'problom,n.难题；困难,p.48,Unit 4
4-2.png,1,54,in class ,,课堂上,p.48,Unit 4
4-2.png,1,56,magic,'maed3ik,n.魔法；魔力；魔术adj.有魔力的；有神奇力量的,p.48,Unit 4
4-2.png,1,59,life ,laif,n.生活；生命,p.48,Unit 4
4-3-5-1.png,1,1,scientist,'saiontist, n.科学家,p.48,Unit 4
4-3-5-1.png,1,3,Baker ,'beike(r),贝克,p.47,Unit 4
4-3-5-1.png,1,5,Mike ,maik,迈克,p.48,Unit 4
4-3-5-1.png,1,7,Davis ,'deivis,戴维斯,p.48,Unit 4
4-3-5-1.png,1,9,Canada ,'kaenede,加拿大,p.48,Unit 4
4-3-5-1.png,1,12,club,klvb,n.俱乐部；社团,p.51,Unit 5
4-3-5-1.png,1,14,join,d3om,v.参加；加入,p.51,Unit 5
4-3-5-1.png,1,16,choose,tfu:z,v.选择；挑选,p.52,Unit 5
4-3-5-1.png,1,18,drama,'dra:me,n.戏剧；戏剧表演,p.52,Unit 5
4-3-5-1.png,1,20,play Chinese chess,,下中国象棋,p.52,Unit 5
4-3-5-1.png,1,22,feeling,'fi:lm,n.感觉；情感,p.52,Unit 5
4-3-5-1.png,1,24,news,nju:z,n.消息；新闻,p.53,Unit 5
4-3-5-1.png,1,26,musical,'mju:zikl,adj.音乐的；有音乐天赋的,p.53,Unit 5
4-3-5-1.png,1,29,musical instrument,,乐器,p.53,Unit 5
4-3-5-1.png,1,31,exactly,ig'zaektli,adv.正是如此；准确地,p.53,Unit 5
4-3-5-1.png,1,34,drum,drvm,n.鼓,p.53,Unit 5
4-3-5-1.png,1,36,ability,e'bileti,n. 能力；才能,p.54,Unit 5
4-3-5-1.png,1,38,paint ,pemt, v.用颜料画；在··上刷油漆n.油漆；涂料,p.54,Unit 5
4-3-5-1.png,1,41,climb,klaim,v.攀登；爬,p.55,Unit 5
4-3-5-1.png,1,43,more ,mo:(r), adj. & pron.更多（的）,p.55,Unit 5
4-3-5-1.png,1,44,act,aekt,v.扮演；行动n.(戏剧等)一幕；行动,p.56,Unit 5
4-3-5-1.png,1,47,act out ,,表演,p.56,Unit 5
4-3-5-1.png,1,49,at home ,,在家里,p.56,Unit 5
4-3-5-1.png,1,51,interested ,'intrestid,adj.感兴趣的,p.56,Unit 5
4-3-5-1.png,1,53,interested in ,,对···感兴趣,p.56,Unit 5
4-3-5-1.png,1,55,nature ,'neitfe(r),n.自然界；大自然,p.56,Unit 5
4-3-5-1.png,1,57,beef,bi:f,n.牛肉,p.56,Unit 5
5-2-6-1.png,1,1,soon ,su:n, adv.不久；很快,p.56,Unit 5
5-2-6-1.png,1,3,than ,oaen; oon, prep. & conj.(用以引出比较的第二部分)比,p.56,Unit 5
5-2-6-1.png,1,6,more than ,,多于,p.56,Unit 5
5-2-6-1.png,1,8,mind,mamd, n.头脑；心思,p.56,Unit 5
5-2-6-1.png,1,10,fall ,fo:l, v.&n.进入；掉落；跌倒n.(美式)秋天,p.56,Unit 5
5-2-6-1.png,1,13,fall in love with ,,爱上···,p.56,Unit 5
5-2-6-1.png,1,15,take photos ,,拍照,p.56,Unit 5
5-2-6-1.png,1,17,collect,ko'lekt,v.收集；采集,p.56,Unit 5
5-2-6-1.png,1,19,insect,'insekt, n. 昆虫,p.56,Unit 5
5-2-6-1.png,1,21,discover ,di'skvve(r),v.发现；发觉,p.56,Unit 5
5-2-6-1.png,1,23,wildlife ,'waildlaif,n.野生动物；野生生物,p.56,Unit 5
5-2-6-1.png,1,26,Linda,'linde,琳达,p.55,Unit 5
5-2-6-1.png,1,28,Alice ,'aclis,爱丽丝,p.56,Unit 5
5-2-6-1.png,1,30,Bil ,bil, 比尔,p.56,Unit 5
5-2-6-1.png,1,32,Jenny,'d3eni,珍妮,p.56,Unit 5
5-2-6-1.png,1,35,make use of ,,使用··；利用···,p.59,Unit 6
5-2-6-1.png,1,37,quarter,'kwo:te(r),n.一刻钟；四等份之一,p.60,Unit 6
5-2-6-1.png,1,40,shower ,'faue(r), n.淋浴；淋浴器；阵雨ν.洗淋浴,p.60,Unit 6
5-2-6-1.png,1,43,take a shower ,,淋浴,p.60,Unit 6
5-2-6-1.png,1,45,get dressed ,,穿衣服,p.60,Unit 6
5-2-6-1.png,1,47,brush ,brvf,v.(用刷子)刷n.刷子；画笔,p.60,Unit 6
5-2-6-1.png,1,50,tooth ,tu:0, n.(pl. teeth ti:0)牙齿,p.60,Unit 6
5-2-6-1.png,1,52,duty,'dju:ti,n.值班；职责,p.60,Unit 6
5-2-6-1.png,1,54,on duty,,值班,p.60,Unit 6
5-2-6-1.png,1,56,usually,'ju:3ueli, adv.通常地；一般地 ,p.60,Unit 6
6-2.png,1,1,get up ,,起床；站起,p.60,Unit 6
6-2.png,1,3,reporter ,ri'po:te(r),n.记者,p.61,Unit 6
6-2.png,1,5,around ,e'raund, adv.& prep.大约；环绕；到处,p.61,Unit 6
6-2.png,1,8,homework,'houmw3:k,n.家庭作业,p.61,Unit 6
6-2.png,1,10,go to bed,,上床睡觉,p.61,Unit 6
6-2.png,1,12,saying,'sem,n.谚语；格言,p.61,Unit 6
6-2.png,1,14,rise ,raiz,v.起床；升起；增长n.增加；增强,p.61,Unit 6
6-2.png,1,17,stay,stei,v.停留；待,p.62,Unit 6
6-2.png,1,19,routine ,ru:'ti:n,n.常规,p.62,Unit 6
6-2.png,1,21,restaurant,'restront, n.餐馆；餐厅,p.63,Unit 6
6-2.png,1,23,housework,'hausw3:k,n.家务劳动,p.63,Unit 6
6-2.png,1,25,while ,wail, n. 一段时间；一会儿conj.在……期间;当……的时候,p.63,Unit 6
6-2.png,1,28,weekend,",wi:k'end",n.周末,p.63,Unit 6
6-2.png,1,30,at weekends ,,在周末,p.63,Unit 6
6-2.png,1,32,daily ,'deili, adj.每日的；日常的,p.64,Unit 6
6-2.png,1,34,daily routine,,日常生活,p.64,Unit 6
6-2.png,1,36,only,'ounli, adv.只；仅,p.64,Unit 6
6-2.png,1,38,break,breik,n.休息；间断v.(使)破碎；损坏,p.64,Unit 6
6-2.png,1,41,Finnish,'fimif,n.芬兰语adj.芬兰的；芬兰人的；芬兰语的,p.64,Unit 6
6-2.png,1,44,finish,'fmif,v.结束；完成,p.64,Unit 6
6-2.png,1,46,hockey,'hoki,n.曲棍球,p.64,Unit 6
6-2.png,1,48,ice hockey,,冰球运动；冰上曲棍球,p.64,Unit 6
6-2.png,1,50,already ,5：l'redi, adv.已经；早已,p.64,Unit 6
6-2.png,1,52,dark,da:k, adj.昏暗的；深色的,p.64,Unit 6
6-2.png,1,54,outside ,，aut'said, adv. & prep.在(···)外面adj.外面的,p.64,Unit 6
6-2.png,1,57,part ,pa:t, n.部分,p.64,Unit 6
6-2.png,1,59,everyday ,'evridei, adj. 每天的；日常的,p.64,Unit 6
6-3-7-1.png,1,1,prepare ,pri'peo(r), v.把··预备好；准备,p.64,Unit 6
6-3-7-1.png,1,4,prepare sth for ,,为··把某物准备好,p.64,Unit 6
6-3-7-1.png,1,6,Timo,'ti:meu,蒂莫,p.64,Unit 6
6-3-7-1.png,1,8,Halla ,'hala,哈拉,p.64,Unit 6
6-3-7-1.png,1,10,Helsinki ,hel'sinki,赫尔辛基（芬兰首都）,p.64,Unit 6
6-3-7-1.png,1,13,Finland ,'finlend,芬兰,p.64,Unit 6
6-3-7-1.png,1,15,home economics ,i:ko'nomiks,家政学；家庭经济学,p.64,Unit 6
6-3-7-1.png,1,19,celebrate,'selibreit,v.庆祝；庆贺,p.67,Unit 7
6-3-7-1.png,1,21,surprise ,se'praiz, n.惊奇；惊讶v.使感到意外,p.69,Unit 7
6-3-7-1.png,1,24,something,'svm0n,pron.某事；某物,p.69,Unit 7
6-3-7-1.png,1,27,sale ,seil, n.出售；销售,p.69,Unit 7
6-3-7-1.png,1,29,kilo,'ki:l5u,"(=kilogram,kilogramme 'kilograem)n.(pl.kilos)千克；公斤",p.69,Unit 7
6-3-7-1.png,1,33,yogurt,'joget,(=yoghurt)n.酸奶,p.69,Unit 7
6-3-7-1.png,1,35,total,'teutl,n.总数；合计adj.总的；全体的,p.69,Unit 7
6-3-7-1.png,1,38,price ,prais, n.价格,p.70,Unit 7
6-3-7-1.png,1,40,balloon,be'lu:n, n.气球,p.70,Unit 7
6-3-7-1.png,1,42,chocolate ,'tfoklet, n.巧克力,p.70,Unit 7
6-3-7-1.png,1,44,pizza ,'pi:tso,n.比萨饼,p.70,Unit 7
6-3-7-1.png,1,46,list ,lst,n.名单；清单v.列表；列清单,p.70,Unit 7
6-3-7-1.png,1,49,own ,eun,adj.&pron.自己的;本人的,p.71,Unit 7
6-3-7-1.png,1,52,example ,rg'za:mpl, n.例子；范例,p.71,Unit 7
7-2.png,1,1,for example ,,例如,p.71,Unit 7
7-2.png,1,3,language,'laengwid3,n.语言,p.71,Unit 7
7-2.png,1,5,international,",inte'naefnel",adj.国际的,p.71,Unit 7
7-2.png,1,8,mark,ma:k,v.做记号；纪念；打分n.记号,p.71,Unit 7
7-2.png,1,11,national,'naefnel,adj.国家的；民族的,p.71,Unit 7
7-2.png,1,14,found ,faund,v.创建；创立,p.71,Unit 7
7-2.png,1,16,meaningful,'mi:ninfl,adj.有意义的；重要的,p.72,Unit 7
7-2.png,1,19,make a wish ,,许愿,p.72,Unit 7
7-2.png,1,21,celebration,",seli'breifn",n.庆典；庆祝（活动）,p.72,Unit 7
7-2.png,1,24,post ,peust, n.帖子；邮政v.邮寄；发布,p.72,Unit 7
7-2.png,1,27,contact,'kontaekt, n.联系；接触v.联系；联络,p.72,Unit 7
7-2.png,1,30,symbol,'simbl, n.象征；符号,p.72,Unit 7
7-2.png,1,32,take a photo ,,拍照,p.72,Unit 7
7-2.png,1,34,village,'vild3,n.村庄；村镇,p.72,Unit 7
7-3.png,1,1,grow,grou,v.成长；长大；增长,p.72,Unit 7
7-3.png,1,3,blow ,blu,v.吹；刮,p.72,Unit 7
7-3.png,1,5,blow out ,,吹灭,p.72,Unit 7
7-3.png,1,7,enjoy ,in'd3oi,ν.享受··的乐趣；喜欢,p.72,Unit 7
7-3.png,1,10,height ,hait, n.身高；高度,p.72,Unit 7
7-3.png,1,12,later ,'leite(r),adv. & adj. 以后（的）；后来（的）,p.72,Unit 7
7-3.png,1,15,next time,,下次,p.72,Unit 7
7-3.png,1,17,whom,hu:m,pron.谁；什么人,p.73,Unit 7
7-3.png,1,19,Wiliam Shakespeare,wiljom 'feikspie(r),威廉·莎士比亚,p.71,Unit 7
7-3.png,1,22,Florence  Nightingale,florens  'nartingerl,弗洛伦斯·南丁格尔,p.71,Unit 7
7-3.png,1,25,National Day ,,国庆节,p.71,Unit 7
7-3.png,1,27,CPC Founding Day ,,中国共产党建党纪念日,p.71,Unit 7
7-3.png,1,30,PLA Day ,,中国人民解放军建军节,p.71,Unit 7
7-3.png,1,32,Judy,'d3u:di,朱迪,p.72,Unit 7
7-3.png,1,34,Clark,kla:k,克拉克,p.72,Unit 7
1-3-2-1.png,1,49,lots of,,大量；许多,p.29,Unit 2
